시군구,행정동,정류장번호(ID),정류장명,상세위치,위도,경도,정류장설치유형,시내버스_경유노선번호,시외버스_경유노선번호,레드존여부,중앙차로여부,미세먼지 측정센서 설치여부,와이파이설치여부,안전비상벨설치여부,버스정보안내단말기(BIT) 유형,의자설치유형,바람막이설치여부,냉온풍기설치여부,공기청정기설치여부
성남시,삼평동,7496,삼평교,판교이노밸리클러스터건너,37.404133 ,127.104783 ,쉘터형,"P9540(출근)(시내),66(마을),73-2(마을),5600(시내),P9100(출근)(시내),357(시내),55(시내),P9530(출근)(시내),315(시내),P9301(출근)(시내),370(시내),누리2(시내),101(시내),3100(시내),P9241(출근)(시내),9409(서울),1009(시내),310(시내),P9242(출근)(시내),P9243(출근)(시내),382(시내),5700A(시내),P9302(출근)(시내),6900(시내),1007(시내),5700B(시내),1007-1(시내)",해당없음,N,N,N,Y,N,LED(5단16열),일반의자,N,N,N
성남시,삼평동,7498,삼평교,판교이노밸리클러스터,37.403917 ,127.104167 ,쉘터형,"P9241(퇴근)(시내),5700B(시내),P9243(퇴근)(시내),P9301(퇴근)(시내),P9530(퇴근)(시내),P9540(퇴근)(시내),357(시내),1007(시내),1009(시내),P9100(퇴근)(시내),1007-1(시내),9409(서울),P9242(퇴근)(시내),P9302(퇴근)(시내),5700A(시내),315(시내),6900(시내),5600(시내)",해당없음,N,N,Y,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,삼평동,7499,금토천교,판교테크노벨리 건너,37.401200 ,127.105550 ,쉘터형,"5700B(시내),75(마을),3000(시내),P9302(퇴근)(시내),P9540(퇴근)(시내),P9100(퇴근)(시내),5700A(시내),P9241(퇴근)(시내),P9243(퇴근)(시내),P9301(퇴근)(시내),P9242(퇴근)(시내),9409(서울),5600(시내),1007(시내),1009(시내),P9530(퇴근)(시내),9507(시내),6900(시내)",해당없음,N,N,N,Y,N,LED(5단16열),일반의자,N,N,N
성남시,판교동,7500,화랑공원남편,공원앞,37.395483 ,127.106317 ,쉘터형,"P9242(퇴근)(시내),32(마을),1009(시내),누리1(시내),9507(시내),누리3(시내),P9100(퇴근)(시내),P9241(퇴근)(시내),9409(서울),1007(시내),P9243(퇴근)(시내)",해당없음,N,N,N,Y,N,LED(5단16열),일반의자,N,N,N
성남시,판교동,7501,판교청소년수련관.판교종합사회복지관,TS로드2,37.389350 ,127.091683 ,쉘터형,"누리3(시내),32(마을),75(마을),9007(시내),9507(시내),340(시내),330(시내),9004(시내),9409(서울),9003(시내),103(시내),4000(시내),220(시내),350(시내),1303(시내),341(시내)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,판교동,7502,판교청소년수련관.판교종합사회복지관,TS로드2건너,37.388983 ,127.091933 ,쉘터형,"9409(서울),9507(시내),220(시내),103(시내),9003(시내),1303(시내),75(마을),4000(시내),330(시내),9004(시내),341(시내),누리3(시내),32(마을),350(시내),9007(시내),340(시내)",해당없음,N,N,Y,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,판교동,7503,힐스테이트,힐스테이트,37.399733 ,127.094067 ,쉘터형,"1007-1(시내),4500(시내),73(마을)",해당없음,N,N,N,N,N,미설치,일반의자,N,N,N
성남시,판교동,7504,성내미육교.판교박물관,밸리빌딩,37.400717 ,127.095950 ,쉘터형,"71(마을),75(마을),73(마을),9007(시내),330(시내),누리4(시내),1007-1(시내),4500(시내),4000(시내),350(시내)",5000판교-인.공(시외),N,N,N,Y,N,LED(5단16열),일반의자,N,N,N
성남시,판교동,7505,성내미육교.판교박물관,낙생빌딩 / TPC빌딩,37.400133 ,127.095633 ,쉘터형,"73(마을),75(마을),350(시내),4000(시내),9007(시내),1007-1(시내),330(시내),누리4(시내),71(마을),4500(시내)",5000판교-인.공(시외),N,N,Y,N,N,LED(5단16열),일반의자,N,N,N
성남시,운중동,7506,운중초등학교,어린이공원,37.391600 ,127.066783 ,쉘터형,"누리3(시내),341(시내),103(시내),1303(시내),350(시내),220(시내),330(시내),9007(시내),9004(시내),9003(시내)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
