2023,23080730030301,to_in_001,614
2023,23080840050201,to_in_001,506
2023,23080650010306,to_in_001,477
2023,23080541010303,to_in_001,372
2023,23080510050202,to_in_001,481
2023,23080790100009,to_in_001,1180
2023,23080580010018,to_in_001,634
2023,23080531040201,to_in_001,359
2023,23080880010204,to_in_001,554
2023,23080880010902,to_in_001,610
2023,23080880021402,to_in_001,515
2023,23080800010702,to_in_001,420
2023,23080531040022,to_in_001,449
2023,23080590010003,to_in_001,427
2023,23080840010301,to_in_001,382
2023,23080810020501,to_in_001,376
2023,23080790100302,to_in_001,414
2023,23080740020201,to_in_001,460
2023,23080860010502,to_in_001,650
2023,23080531040011,to_in_001,611
2023,23080730030014,to_in_001,0
2023,23080541010004,to_in_001,410
2023,23080541020002,to_in_001,412
2023,23080810020001,to_in_001,443
2023,23080790020202,to_in_001,521
2023,23080790030001,to_in_001,390
2023,23080880020505,to_in_001,465
2023,23080870020007,to_in_001,563
2023,23080860010901,to_in_001,314
2023,23080800012402,to_in_001,543
2023,23080780050002,to_in_001,511
2023,23080850010801,to_in_001,555
2023,23080800010001,to_in_001,387
2023,23080650010004,to_in_001,379
2023,23080531040701,to_in_001,646
2023,23080650010007,to_in_001,430
2023,23080541010801,to_in_001,0
2023,23080640020006,to_in_001,616
2023,23080510050009,to_in_001,546
2023,23080810020202,to_in_001,614
2023,23080880020302,to_in_001,117
2023,23080780010001,to_in_001,387
2023,23080780060110,to_in_001,520
2023,23080870010302,to_in_001,530
2023,23080510040205,to_in_001,370
2023,23080840050009,to_in_001,370
2023,23080580010019,to_in_001,625
2023,23080730010006,to_in_001,522
2023,23080541020304,to_in_001,700
2023,23080800011001,to_in_001,502
2023,23080510030505,to_in_001,456
2023,23080860010102,to_in_001,441
2023,23080550010204,to_in_001,495
2023,23080850010402,to_in_001,680
2023,23080780040202,to_in_001,498
2023,23080880010602,to_in_001,530
2023,23080550010108,to_in_001,560
2023,23080541020011,to_in_001,643
2023,23080780010108,to_in_001,542
2023,23080790040002,to_in_001,323
2023,23080531020501,to_in_001,543
2023,23080730030104,to_in_001,558
2023,23080790070101,to_in_001,592
2023,23080800010009,to_in_001,408
