정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
(구)국제여객터미널,35051,20,1219,6,1219,14,41
(구)국제여객터미널,35052,1537,32,1532,32,5,52
(구)시민회관사거리,37319,4668,45078,4658,45078,10,1658
(구)시민회관사거리,37326,92661,18032,92522,18032,139,3689
(주)경동세라믹스,89146,526,24,526,24,,18
(주)경인양행앞,42096,1091,910,1091,910,,66
(주)경인양행앞,42097,1750,3658,1750,3658,,180
(주)대한특수금속,39050,1191,68,1191,68,,41
(주)두남,39135,223,48,223,48,,9
(주)세모입구(린나이코리아),37585,1422,2039,1422,2039,,115
(주)세모입구(린나이코리아),40893,324,834,324,834,,38
(주)스킨이데아,89388,454,444,454,444,,29
(주)스킨이데아,89389,2078,13,2078,13,,69
(주)씨피엔텍,39133,625,3732,625,3732,,145
(주)씨피엔텍,39134,2234,458,2232,458,2,89
(주)창원,39029,3818,2980,3818,2980,,226
(주)창원,39030,4245,3731,4245,3731,,265
(주)하나금속,39124,13,64,13,64,,2
17사단.다임메가타운,40895,2085,4751,2082,4751,3,227
17사단입구,40832,10,512,7,512,3,17
1차풍림아이원,42642,5200,7,5200,7,,173
2001아울렛,40154,3266,5395,3266,5395,,288
2001아울렛,40159,29062,12644,29021,12644,41,1390
2001아울렛,40162,10214,20417,10185,20417,29,1021
2001아울렛부평점,40158,4526,2398,4503,2398,23,230
2차풍림아이원,42584,36,10613,36,10613,,354
3단지,40736,183,1668,183,1668,,61
3단지관리사무소,40107,1762,427,1762,427,,72
41번구종점,42174,1923,6108,1923,6108,,267
510번차고지,36145,982,370,981,370,1,45
540번종점,39470,3059,32,3021,32,38,103
6공단사거리,37577,313,2375,308,2375,5,89
6공단입구,37442,593,942,590,942,3,51
6공단입구,37443,933,1534,933,1534,,82
8부두,35181,158,1877,148,1877,10,67
8부두,35182,1435,1798,1419,1798,16,107
CJ인천2공장,35591,337,3269,334,3269,3,120
CJ인천2공장,35592,2235,99,2230,99,5,77
E편한세상,42453,3094,1884,3079,1884,15,165
E편한세상,42649,1426,3157,1424,3157,2,152
E편한세상,42726,3130,1563,3126,1563,4,156
GM물류센터,40568,490,1247,490,1247,,57
GS25편의점,36142,1211,2561,1192,2561,19,125
GS내리주유소,44147,4,,,,4,0
GS칼텍스,35168,576,24,567,24,9,20
GS칼텍스,35557,9,2018,9,2018,,67
GS칼텍스,89220,128,654,128,654,,26
GS칼텍스,89224,115,1441,115,1441,,51
GS칼텍스주유소,39814,177,12,177,12,,6
HD현대인프라코어,36081,622,1474,622,1474,,69
HD현대인프라코어,36083,2191,942,2186,942,5,104
HD현대인프라코어후문,36077,12,724,8,724,4,24
HD현대인프라코어후문,36078,3505,772,3501,772,4,142
JC회관,37383,4150,4256,4143,4256,7,280
JST기술연구소,89491,6,1659,6,1659,,55
JST기술연구소,89492,581,25,575,25,6,20
KCC아파트,42391,2042,1510,2038,1510,4,118
KG스틸,42008,2412,4471,2401,4471,11,229
KTX광명역4번출구,58057,2525,17,2525,17,,84
KT부평지사,40381,9932,6850,9811,6850,121,559
KT부평지사,40384,7477,12999,7438,12999,39,682
KT서인천지사,42932,1622,2664,1620,2664,2,142
KT서인천지사,42933,1716,951,1714,951,2,88
KT송도지점,38568,678,420,678,420,,36
KT온수분국,43523,657,251,656,251,1,30
KT인천공항지사,35095,227,50,227,50,,9
KT인천공항지사,35109,6752,3214,6725,3214,27,332
KT인천지사,37415,6028,4350,6004,4350,24,345
KT인천지사,39319,7891,4720,7852,4720,39,420
KT중동지사,55081,763,209,758,209,5,32
KT중동지사,55082,150,1123,150,1123,,42
LG마그나,89029,6810,2526,6807,2526,3,311
LG마그나,89264,2989,5867,2989,5867,,295
LG물류센터,39043,382,194,382,194,,19
LG물류센터,39044,104,563,104,563,,22
LG전자(주),42297,4936,3963,4926,3963,10,296
LH1단지,35494,9131,4345,9129,4345,2,449
LH1단지,35495,4893,6261,4891,6261,2,371
LH49단지행복주택아파트,35768,673,1345,671,1345,2,67
LH49단지행복주택아파트,35769,1837,757,1836,757,1,86
LH7단지,35451,3714,1924,3714,1924,,187
LH7단지,35452,2163,3461,2163,3461,,187
LH미추홀3단지,37222,2902,6409,2856,6409,46,310
LH미추홀3단지,37635,6321,2883,6291,2883,30,306
LH웨스턴블루힐정문,89184,1122,2980,1121,2980,1,136
LH웨스턴블루힐정문,89185,3989,3213,3981,3213,8,240
NKG물류센터,89212,192,90,192,90,,9
SK.GS주유소,89230,1434,1719,1433,1719,1,105
SK.GS주유소,89231,1857,1907,1857,1907,,125
SKLPG충전사업소,35636,844,21,833,21,11,28
SKLPG충전사업소,35638,20,879,1,879,19,29
SK뷰아파트,42888,1287,5455,1287,5455,,224
SK뷰아파트,42889,7105,1131,7105,1131,,274
SK스카이뷰,37601,397,29829,397,29829,,1007
SK스카이뷰104동,37587,7253,40,7253,40,,243
SK스카이뷰109동,37607,7516,86,7516,86,,253
SK인천석유화학,42767,1273,655,1271,655,2,64
SK인천석유화학,42768,436,799,436,799,,41
SK주유소,42956,256,301,256,301,,18
SK주유소앞,35287,1463,141,1462,141,1,53
SK주유소앞,35539,52,2260,52,2260,,77
SK충전소,35085,41,2349,22,2349,19,79
e편한세상 정문,38624,19685,1280,19682,1280,3,698
e편한세상(109동 앞),32062,749,1242,749,1242,,66
e편한세상(109동앞),38643,1026,536,1026,536,,52
e편한세상1차(정문),35662,587,915,586,915,1,50
e편한세상1차(정문),35663,1368,534,1368,534,,63
e편한세상계양,41037,13869,3538,13861,3538,8,580
e편한세상계양,41038,5026,14479,5018,14479,8,650
e편한세상영종센텀베뉴정문,35510,1310,4357,1310,4357,,188
e편한세상영종오션하임,35674,1578,642,1573,642,5,74
e편한세상영종오션하임,35761,568,1501,568,1501,,68
e편한세상영종하늘도시,35646,504,667,498,667,6,39
e편한세상영종하늘도시,35647,240,342,239,342,1,19
gym80fitness,37081,2441,795,2423,795,18,107
가경공원,89365,1058,534,1058,534,,53
가구단지사거리,37455,2928,3664,2924,3664,4,219
가구단지사거리,37456,3022,2123,3014,2123,8,171
가구전시장,42072,389,579,387,579,2,32
가구전시장,42074,809,502,805,502,4,43
가나안마을앞,43904,,15,,15,,0
가나안마을앞,43905,38,,37,,1,1
가능포,43969,2,6,2,6,,0
가능포,43970,,17,,17,,0
가림고등학교,42078,11446,12642,11383,12642,63,802
가야,42807,1217,2,1217,2,,40
가야,42808,5,1418,5,1418,,47
가오대입구,80033,123,420,122,420,1,18
가오대입구,80034,82,622,82,622,,23
가원초등학교,42952,6145,4718,6136,4718,9,362
가원초등학교,89118,2595,5434,2592,5434,3,267
가재우물터,35678,12,6,12,6,,0
가재우물터,35700,8,11,8,11,,0
가재울사거리,42039,2256,5865,2251,5865,5,270
가재울사거리,42042,9069,4893,9050,4893,19,465
가재울역,42034,2899,3301,2885,3301,14,206
가재울역,42035,3927,2077,3903,2077,24,200
가정(루원시티)역,89050,6363,53859,6363,53859,,2007
가정(루원시티)역,89051,72563,8934,72563,8934,,2716
가정(루원시티)역,89075,73866,77943,73793,77943,73,5060
가정(루원시티)역,89078,81513,70943,81440,70943,73,5081
가정3동성당,42226,397,3519,397,3519,,130
가정LH3단지정문앞,89041,17666,3795,17593,3795,73,715
가정고등학교,42200,11034,4479,10911,4479,123,517
가정고등학교,42203,3317,8183,3300,8183,17,383
가정교,89502,74,974,67,974,7,34
가정교,89503,664,94,664,94,,25
가정교차로,89390,310,915,309,915,1,40
가정교차로,89391,327,2414,327,2414,,91
가정동성당,89102,3309,3645,3304,3645,5,231
가정동성당,89105,2594,1582,2589,1582,5,139
가정보금자리,89119,1457,690,1457,690,,71
가정보금자리,89120,87,1403,87,1403,,49
가정여자중학교,42041,797,8030,789,8030,8,294
가정여중입구,89303,835,972,814,972,21,60
가정중앙시장역,42215,1117,1265,1114,1265,3,79
가정중앙시장역,42219,1245,1553,1232,1553,13,93
가정택지삼거리,89385,349,126,349,126,,15
가정택지삼거리,89386,183,446,183,446,,20
가정휴먼시아3단지,89186,1574,1531,1574,1531,,103
가정휴먼시아3단지,89187,1535,1917,1535,1917,,115
가좌2동행정복지센터,42073,6020,401,5988,401,32,214
가좌2동행정복지센터,42076,141,4900,130,4900,11,168
가좌3동행정복지센터,42075,11967,12742,11927,12742,40,823
가좌4동행정복지센터,42062,4842,6561,4816,6561,26,380
가좌고등학교,42060,14919,12028,14861,12028,58,898
가좌고등학교,42061,5500,8055,5455,8055,45,451
가좌공단,42526,25,9808,23,9808,2,327
가좌공단,42945,7854,209,7844,209,10,268
가좌교회,42055,3220,7252,3207,7252,13,349
가좌교회,42057,3507,3366,3497,3366,10,229
가좌녹지공원,42029,1910,3942,1896,3942,14,195
가좌녹지공원,42030,2064,1646,2050,1646,14,123
가좌농협,42066,8235,6475,8169,6475,66,490
가좌농협,42067,5693,5977,5639,5977,54,389
가좌동차고,42939,1972,284,1871,284,101,75
가좌동차고지,42522,132,1020,60,1020,72,38
가좌두산위브104동앞,42090,4649,3253,4630,3253,19,263
가좌사거리,42043,32,255,24,255,8,9
가좌사거리,42044,480,4850,469,4850,11,177
가좌진주아파트,42100,13495,27349,13454,27349,41,1361
가좌체육공원,42058,7216,1082,7180,1082,36,276
가좌초등학교,42069,3713,4309,3698,4309,15,267
가좌초등학교,42070,3854,2431,3851,2431,3,209
가좌테니스장,37454,2209,1053,2209,1053,,108
가좌테니스장,37457,832,1187,831,1187,1,67
가좌현대아파트,42130,7646,2047,7635,2047,11,323
가좌현대아파트,42133,608,8051,601,8051,7,288
가좌홈플러스(쌍마아파트),42101,10294,7146,10220,7146,74,581
가좌홈플러스(쌍마아파트),42103,7260,11495,7184,11495,76,625
가좌환경사업소,42631,7945,4749,7930,4749,15,423
가좌환경사업소 북측,89341,218,383,218,383,,20
가좌환경사업소북측,89342,27,214,27,214,,8
가천대학교,38270,1404,1211,1404,1211,,87
가천대학교,38284,7662,2916,7662,2916,,352
가천대학교(노인복지회관),38269,821,1167,820,1167,1,66
가천의대,43237,,19,,19,,0
가천의대,43897,24,1,22,1,2,0
가톨릭대,43156,3,1,3,1,,0
가톨릭대,43325,,46,,46,,1
가현오일뱅크,42734,39,19,39,19,,1
가현중학교,42722,3128,2289,3103,2289,25,180
가현초교앞(루에블리아파트),89242,2150,3793,2131,3793,19,198
가현초교앞(센트럴타운아파트),89243,5217,1718,5197,1718,20,231
각곡,43602,2,86,2,86,,2
각곡,43772,171,7,156,7,15,5
간석4거리,39538,289,261,273,261,16,18
간석4동새마을금고,39343,2926,5939,2901,5939,25,295
간석4동새마을금고,39346,2792,2200,2780,2200,12,166
간석4동행정복지센터,39403,3726,7324,3726,7324,,368
간석4동행정복지센터,39412,4678,2331,4678,2331,,233
간석금호어울림아파트,39334,23712,12777,23604,12777,108,1216
간석남부역,37429,3799,934,3797,934,2,157
간석남부역,37435,6886,2581,6820,2581,66,315
간석남부역,37529,1751,3217,1751,3217,,165
간석동용광경로당,39394,910,600,899,600,11,50
간석래미안.자이,39333,16390,16725,16340,16725,50,1103
간석북부역,39806,4502,61,4433,61,69,152
간석북부역,39807,100,2831,47,2831,53,97
간석북부역·우성1차,39368,12838,5173,12838,5173,,600
간석북부역·우성1차,39370,5775,10251,5775,10251,,534
간석사거리,39413,12654,9018,12643,9018,11,722
간석사거리,39414,4758,9138,4752,9138,6,463
간석사거리,39430,2490,2448,2467,2448,23,164
간석사거리(상인천중학교),39422,12662,27916,12572,27916,90,1352
간석사거리(상인천중학교),39426,30958,18762,30816,18762,142,1657
간석시장,39434,12622,29393,12469,29393,153,1400
간석시장,39436,54051,29979,53839,29979,212,2801
간석시장,39437,15386,21498,15359,21498,27,1229
간석오거리,39460,15595,13314,15552,13314,43,963
간석오거리,39597,4183,3440,4166,3440,17,254
간석오거리(교원공제조합),39444,35454,28291,35377,28291,77,2124
간석오거리(인천웨딩홀),39406,7443,11332,7376,11332,67,625
간석오거리(인천웨딩홀),39423,32930,20035,32828,20035,102,1765
간석오거리역(7번출구),39447,17074,33078,17051,33078,23,1671
간석오거리역(8번출구),39449,60735,71619,60645,71619,90,4411
간석지구대,39535,509,591,498,591,11,36
간석지구대,39536,519,670,502,670,17,39
간석풍림아파트,92053,817,649,804,649,13,48
간석한신더휴아파트맞은편,37447,2515,544,2515,544,,101
간재울초등학교,42347,5540,4304,5539,4304,1,328
간촌,43504,7,25,6,25,1,1
간촌,43518,17,8,17,8,,0
갈산대동아파트,40550,339,730,339,730,,35
갈산동아아파트,40567,1614,1562,1614,1562,,105
갈산동입구,40622,34,3288,34,3288,,110
갈산동천주교회,40652,833,4960,833,4960,,193
갈산동천주교회맞은편,40650,5916,4964,5910,4964,6,362
갈산두산아파트,40544,4163,5681,4162,5681,1,328
갈산사거리,40631,2584,4728,2584,4728,,243
갈산사거리,40634,3221,4941,3221,4941,,272
갈산새마을금고,40635,8461,2038,8461,2038,,349
갈산시장,40628,6880,6430,6875,6430,5,443
갈산시장.갈산도서관,40629,2230,5802,2230,5802,,267
갈산역,40601,36058,11824,36055,11824,3,1596
갈산역,40602,9791,42464,9791,42464,,1741
갈산역(1번출구),40604,21901,7006,21859,7006,42,963
갈산역(부평4공단)4번출구,40606,6286,16847,6276,16847,10,771
갈산주공1단지,40578,3008,2127,3008,2127,,171
갈산주공1단지105동,40813,4118,2373,4117,2373,1,216
갈산주공2단지,40562,520,1211,520,1211,,57
갈산주공2단지,40577,3662,7056,3658,7056,4,357
갈산태화아파트,40542,567,1227,567,1227,,59
갈산태화아파트,40664,4829,900,4829,900,,190
갈산태화아파트,40666,306,1534,306,1534,,61
갈산태화아파트,40667,629,2821,629,2821,,115
갈월초등학교,40531,132,1093,132,1093,,40
갈현경로당,41491,44,332,44,332,,12
갈현경로당앞,41607,175,53,175,53,,7
갈현교,41608,15,4,15,4,,0
갈현교,41609,,14,,14,,0
갈현교입구,41492,113,24,113,24,,4
갈현교입구,41617,15,140,15,140,,5
갈현동마을,41351,648,658,642,658,6,43
갈현동마을,41352,181,1067,180,1067,1,41
갑곶돈대.강화전쟁박물관,43365,8,14,8,14,,0
갑곶돈대.강화전쟁박물관,43728,5,25,5,25,,1
갑곶돈대입구,43367,7,6,6,6,1,0
갑곶돈대입구,43726,9,3,9,3,,0
갑륭초교,43374,1,3,,3,1,0
갑륭초교,43724,6,168,6,168,,5
갑문,35125,10,482,10,482,,16
갑문,35504,161,14,161,14,,5
강남시장,42172,19006,13019,18886,13019,120,1067
강남시장,42173,11438,11018,11403,11018,35,748
강남역도시에빛,31076,3732,5709,3732,5709,,314
강남역서초현대타워앞,31016,42141,27098,42141,27098,,2307
강남중교,43213,199,24,199,24,,7
강남중교,43278,16,239,16,239,,8
강서중학교,43660,17,129,17,129,,4
강서중학교,43898,174,9,166,9,8,6
강인여객,40020,1175,1485,1164,1485,11,88
강인여객,40022,1173,911,1167,911,6,69
강화갯벌장어,43633,5,1,5,1,,0
강화갯벌장어,43671,,15,,15,,0
강화경찰서,43209,248,32,231,32,17,9
강화경찰서,43624,6,204,5,204,1,7
강화고등학교,43564,24,33,20,33,4,1
강화고등학교,43761,122,52,122,52,,5
강화군 행복센터,43055,125,1564,121,1564,4,56
강화군 행복센터,43056,,208,,208,,6
강화군노인문화센터,90373,,11,,11,,0
강화군노인문화센터,90374,1,1,1,1,,0
강화군청,43065,3210,845,3079,845,131,135
강화군청,43108,744,2574,730,2574,14,110
강화루지.강남상회,43150,100,74,100,74,,5
강화루지.강남상회,43250,75,154,73,154,2,7
강화마니산,43001,40,64,40,64,,3
강화마니산,43002,421,174,409,174,12,19
강화문화원.종합전시관,43097,1,43,1,43,,1
강화문화원.종합전시관,43098,45,552,44,552,1,19
강화병원,43088,32,1471,24,1471,8,50
강화병원,43089,864,51,858,51,6,30
강화산단,90123,,11,,11,,0
강화산단,90124,,,,,,
강화산단입구,90096,7,17,7,17,,0
강화산단입구,90097,7,4,7,4,,0
강화산성서문,43080,3,49,3,49,,1
강화산성서문,43081,30,110,30,110,,4
강화서문,43063,786,603,776,603,10,46
강화서문,43064,528,458,499,458,29,32
강화수양관앞,43467,41,40,41,40,,2
강화수양관앞,43732,23,23,23,23,,1
강화슈퍼,43066,529,1002,522,1002,7,51
강화슈퍼,43068,1432,434,1333,434,99,62
강화실버케어스앞,43975,17,129,16,129,1,4
강화실버케어스앞,43976,41,55,41,55,,3
강화여자중학교,90334,,23,,23,,0
강화역사박물관(고인돌),43601,313,40,305,40,8,11
강화역사박물관(고인돌),43670,37,431,37,431,,15
강화장례식장,43918,1340,62,1307,62,33,46
강화장례식장,43946,35,1786,33,1786,2,60
강화중학교,43207,31,56,23,56,8,2
강화중학교,43623,31,54,22,54,9,2
강화터미널,43096,45770,1057,44397,1057,1373,1560
개항동 어울터,35197,8496,1744,8439,1744,57,341
개항동 어울터,35198,2114,8687,2107,8687,7,360
개화2치안센터,25023,28,1607,27,1607,1,54
개화2치안센터,25024,2071,39,2068,39,3,70
개화역1번출구.개화검문소,25030,157,6677,156,6677,1,227
개화역1번출구.개화검문소,25031,2314,244,2306,244,8,85
개화역광역환승센터,25182,1356,2448,1356,2448,,126
갤러리84입구,35666,56,12,54,12,2,2
갤러리84입구,35667,52,89,52,89,,4
갯벌슈퍼,43410,,20,,20,,0
갯벌슈퍼,43513,9,1,9,1,,0
거북시장,42132,12312,10711,12186,10711,126,767
거북시장,42136,11698,10277,11633,10277,65,732
거산정공.(주)록키,39137,1555,2321,1554,2321,1,129
거잠포선착장,35302,96,172,96,172,,8
거잠포선착장,35303,138,56,137,56,1,6
거잠포회센터,35588,82,16,70,16,12,3
건설기술교육원,39353,6177,10888,6176,10888,1,568
건설기술교육원,39354,5234,3980,5231,3980,3,307
건영아파트,38069,15613,41006,15592,41006,21,1887
건일아파트,43015,424,281,420,281,4,23
건일아파트,43094,277,266,273,266,4,18
건지사거리,42882,85,1,85,1,,2
건지사거리,42883,2,243,2,243,,8
건평,43168,64,76,63,76,1,4
건평,43186,4,64,4,64,,2
건평리,43187,51,4,51,4,,1
건평리,43651,,42,,42,,1
건평마을회관,43594,10,40,10,40,,1
건평입구,43170,1,8,1,8,,0
건평입구,43331,,14,,14,,0
걸포북변역,35560,55,4187,55,4187,,141
걸포북변역,35610,3400,209,3400,209,,120
걸포사거리.우리병원,35561,386,394,386,394,,26
검단1차피오레,89457,381,223,381,223,,20
검단1차피오레,89458,47,562,47,562,,20
검단LH행복주택,89408,12448,3727,12442,3727,6,539
검단공구상가,89053,65,685,65,685,,25
검단공구상가,89065,365,203,365,203,,18
검단금호아파트,42557,2,102,2,102,,3
검단금호아파트,42558,209,558,209,558,,25
검단노인복지관,42695,124,504,123,504,1,20
검단농기구센터,89316,102,2,101,2,1,3
검단농기구센터,89324,2,184,2,184,,6
검단농협,42432,24959,8435,24940,8435,19,1113
검단농협,42434,5139,13530,5121,13530,18,622
검단대성베르힐,89467,2796,204,2796,204,,100
검단동행정복지센터(검단고교),42441,3661,8194,3648,8194,13,395
검단동행정복지센터(검단고교),42445,4568,4308,4567,4308,1,295
검단디에트르리버파크,89476,978,4425,972,4425,6,180
검단디에트르리버파크,89477,3266,858,3259,858,7,137
검단로제비앙라포레,89483,2387,10,2387,10,,79
검단로제비앙라포레,89484,5,753,5,753,,25
검단로지스틱스파크,41339,1022,305,1016,305,6,44
검단로지스틱스파크,42395,238,3021,238,3021,,108
검단메가박스,42383,1638,1686,1634,1686,4,110
검단메가박스,42384,479,1017,479,1017,,49
검단모아미래도엘리트,89466,335,2447,335,2447,,92
검단모아엘가그랑데아파트,42483,7155,1444,7152,1444,3,286
검단사거리역,42419,14269,14618,14250,14618,19,962
검단사거리역,42426,1693,8217,1688,8217,5,330
검단사거리역,42427,7387,2828,7366,2828,21,340
검단사거리역,42537,10784,12760,10770,12760,14,784
검단산업단지(코뿔소),42805,123,23,123,23,,4
검단산업단지(코뿔소),42806,,53,,53,,1
검단소방서,42428,1084,4484,1068,4484,16,185
검단소방서,42431,317,2059,314,2059,3,79
검단신도시예미지더시그너스,89415,1365,952,1365,952,,77
검단신도시예미지더시그너스,89416,556,646,556,646,,40
검단신도시우미린리버포레,89409,5691,11606,5679,11606,12,576
검단오류공단,42702,19,553,19,553,,19
검단오류공단,42703,273,19,273,19,,9
검단오류역,89057,6324,680,6319,680,5,233
검단오류역,89060,554,5907,550,5907,4,215
검단오류역우방아이유쉘,89067,548,953,547,953,1,50
검단오류역우방아이유쉘,89068,1144,306,1140,306,4,48
검단오류풍림아이원,89251,108,436,108,436,,18
검단오류풍림아이원,89252,458,156,458,156,,20
검단우미린파크뷰1단지,89499,1917,58,1917,58,,65
검단우미린파크뷰1단지,89500,106,258,106,258,,12
검단우미린파크뷰2단지,89469,221,1674,221,1674,,63
검단우미린파크뷰2단지,89501,2344,163,2344,163,,83
검단우방아이유쉘아파트,42688,283,501,276,501,7,26
검단원흥아파트,42400,1627,1084,1626,1084,1,90
검단원흥아파트,42401,1288,2459,1287,2459,1,124
검단지식산업센타,89054,6648,142,6634,142,14,226
검단지식산업센타,89063,156,4761,156,4761,,163
검단초등학교,42475,8152,3502,8138,3502,14,388
검단초등학교,42482,3321,5833,3319,5833,2,305
검단초등학교,89332,144,119,141,119,3,8
검단초등학교,89333,129,156,120,156,9,9
검단출장소,42423,14152,10800,14148,10800,4,831
검단출장소,42424,4161,9139,4158,9139,3,443
검단탑종합병원,42877,436,534,436,534,,32
검단하나아파트,42421,1965,464,1961,464,4,80
검단하나아파트,42422,328,472,327,472,1,26
검문소,43662,2,3,2,3,,0
검문소,43812,17,65,17,65,,2
검문소,90042,,8,,8,,0
검문소,90043,10,103,9,103,1,3
검바위역,42348,3898,863,3887,863,11,158
검바위역,42349,1293,3441,1289,3441,4,157
검암경서동행정복지센터,42352,1771,5541,1771,5541,,243
검암경서동행정복지센터,42353,5869,1909,5868,1909,1,259
검암사거리,42356,2372,3141,2364,3141,8,183
검암사거리,42357,4124,1705,4109,1705,15,194
검암사거리,42358,5239,1806,5237,1806,2,234
검암역(시내방면),42364,19508,3693,19491,3693,17,773
검암역(원당방면),42363,3772,26561,3755,26561,17,1011
검암역.서해그랑블아파트,42360,6802,4904,6802,4904,,390
검암역로열파크씨티푸르지오1단지,89167,8199,43,8182,43,17,274
검암역로열파크씨티푸르지오1단지,89168,26,7634,21,7634,5,255
검암역로열파크씨티푸르지오2단지,89169,465,54,460,54,5,17
검암역로열파크씨티푸르지오2단지,89170,25,4458,24,4458,1,149
검암역입구,42851,19556,7508,19549,7508,7,902
검암역입구,42852,6464,9382,6464,9382,,528
검암역입구(시천교밑),89250,11967,2866,11967,2866,,494
검암중학교,42359,3844,1679,3840,1679,4,184
검암중학교,42362,2210,2998,2210,2998,,173
검암초등학교,42361,385,6149,385,6149,,217
겐트대학교글로벌캠퍼스,38769,46,,46,,,1
겐트대학교글로벌캠퍼스,38770,65,482,65,482,,18
경기국제통상고.포도마을뉴서울.중앙공원,55042,650,1877,645,1877,5,84
경기국제통상고.포도마을뉴서울.중앙공원,55043,1333,964,1323,964,10,76
경기도학생교육원,43162,1,121,1,121,,4
경기도학생교육원,43222,206,46,205,46,1,8
경기주유소,43051,108,414,107,414,1,17
경남1차,40343,8129,347,8024,347,105,282
경남1차아파트,40376,12641,6968,12617,6968,24,653
경남2차,40305,8334,62,8253,62,81,279
경남아너스빌,42099,3165,1543,3164,1543,1,156
경남아너스빌,42102,1399,2532,1399,2532,,131
경남아너스빌아파트,42110,5124,2911,5117,2911,7,267
경남아너스빌아파트,42111,1634,2799,1628,2799,6,147
경남아파트,35143,7417,2826,7388,2826,29,341
경남아파트,35147,1352,2638,1347,2638,5,133
경남아파트,38281,8041,7238,8021,7238,20,509
경남아파트,41011,14437,3879,14365,3879,72,610
경남아파트,41014,3697,7924,3694,7924,3,387
경남아파트,42332,6712,3617,6712,3617,,344
경남아파트,42334,3143,6891,3143,6891,,334
경남아파트308동앞,40334,43,4749,35,4749,8,159
경남아파트311동앞,40300,19,5777,19,5777,,193
경남아파트313동앞,40287,68,9157,39,9157,29,307
경동택배,89315,78,1,76,1,2,2
경동택배,89325,,17,,17,,0
경명초등학교,89216,1426,551,1426,551,,65
경명초등학교,89277,5334,7361,5334,7361,,423
경명초등학교,89278,4350,6330,4350,6330,,356
경방신약,39136,5216,1385,5215,1385,1,220
경방신약,39138,2752,9318,2751,9318,1,402
경복예식장,39399,9202,4533,9119,4533,83,457
경서농원,42333,114,550,114,550,,22
경서농원,42335,48,1146,48,1146,,39
경서지구입구,42303,970,5512,970,5512,,216
경서지구입구,42671,2229,2541,2229,2541,,159
경서지구입구,42672,3958,2636,3958,2636,,219
경서초등학교,42569,3895,2487,3895,2487,,212
경서초등학교,42570,2670,2804,2670,2804,,182
경신마을,39646,133,151,133,151,,9
경신마을,39982,113,933,113,933,,34
경신아파트,41216,1897,1055,1892,1055,5,98
경신아파트,41223,1853,3562,1837,3562,16,180
경연초중학교,89271,6035,4116,6035,4116,,338
경연초중학교,89272,3037,5057,3037,5057,,269
경연초중학교·청라센텀로제비앙,89286,2749,1062,2748,1062,1,127
경연초중학교·호반베르디움6차,89285,1992,2058,1991,2058,1,135
경인계량소,42549,865,5,854,5,11,29
경인계량소,42550,2,653,2,653,,21
경인교대.부평향교,41138,1030,1146,1024,1146,6,72
경인교대.부평향교,41139,940,1058,939,1058,1,66
경인교대역입구,41428,7978,7162,7971,7162,7,504
경인교대역입구,41429,7446,8352,7436,8352,10,526
경인교회앞,40077,866,3313,854,3313,12,139
경인방송,37003,165,116,165,116,,9
경인방송,37004,57,288,57,288,,11
경인산업,39688,845,1570,845,1570,,80
경인아라뱃길여객터미널,42869,171,14,171,14,,6
경인여대,41277,10685,17595,10677,17595,8,942
경인여대,41278,5766,6908,5760,6908,6,422
경인특장,42547,236,3,235,3,1,7
경인항다목적부두,89151,95,3,95,3,,3
경인항다목적부두,89152,2,125,2,125,,4
경전말,43934,48,,47,,1,1
경제자유구역청,38514,2052,2216,2052,2216,,142
경제자유구역청,38515,2796,3519,2795,3519,1,210
경진브로아,39042,1063,1223,1063,1223,,76
경흥빌라,43372,420,7,405,7,15,14
경흥빌라,43616,4,196,4,196,,6
경희유치원앞,39991,137,424,137,424,,18
경희유치원앞,39992,81,145,81,145,,7
계량소,40195,2094,280,2085,280,9,79
계룡리슈빌,55225,3733,906,3733,906,,154
계산공고,41167,2862,3687,2835,3687,27,218
계산공고,41170,5301,7533,5279,7533,22,427
계산공고앞,41169,2626,1885,2620,1885,6,150
계산국민체육센터,41276,1547,2951,1533,2951,14,149
계산국민체육센터,41613,2256,2029,2245,2029,11,142
계산동수협,41533,3733,4128,3728,4128,5,262
계산동아아파트,41231,183,5,183,5,,6
계산동우체국,41427,7224,3948,7224,3948,,372
계산삼거리,41196,341,289,341,289,,21
계산삼거리(신도브래뉴),41199,10455,9407,10443,9407,12,662
계산삼거리(신도브래뉴),41201,4438,7890,4431,7890,7,410
계산시장,41176,3693,4514,3684,4514,9,273
계산여고,41576,849,803,849,803,,55
계산여자고등학교,41221,5,238,5,238,,8
계산여자고등학교,41224,1054,1058,1053,1058,1,70
계산역,41247,6900,5528,6881,5528,19,414
계산역,41371,8416,1784,8416,1784,,340
계산역,41426,30209,20663,30196,20663,13,1695
계산역,41431,23293,30158,23276,30158,17,1781
계산우체국,41430,10583,12162,10570,12162,13,758
계산주공아파트,41423,12274,13801,12244,13801,30,869
계산중학교,41577,186,34,186,34,,7
계양1동주민자치센터,41476,7125,1771,7103,1771,22,296
계양1동주민자치센터,41520,689,7132,681,7132,8,260
계양3동행정복지센터,41525,876,1202,876,1202,,69
계양3동행정복지센터,41526,1011,739,1011,739,,58
계양CGV,41140,3710,3459,3708,3459,2,238
계양경찰서,41184,10003,8789,10003,8789,,626
