정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
도담공원.푸르지오더베뉴,89398,2950,4177,2950,4177,,237
도담공원·인천이음중학교(서측),89482,1742,1903,1742,1903,,121
도두리마을,41565,15598,1939,15598,1939,,584
도두리마을,41566,2499,11906,2499,11906,,480
도림고등학교,92066,180,169,180,169,,11
도림동고개,39160,1107,698,1107,698,,60
도림동고개,39161,595,1405,595,1405,,66
도림동입구,39140,8540,1974,8534,1974,6,350
도림동입구,39141,10,2154,10,2154,,72
도림아이파크아파트,39155,7057,3740,7035,3740,22,359
도림육교,39154,3381,6265,3376,6265,5,321
도림주공1단지,39152,14712,11441,14671,11441,41,871
도림주공1단지,39153,13341,10826,13324,10826,17,805
도림주공208동,39142,6683,3061,6666,3061,17,324
도림주공208동,39143,4592,7100,4587,7100,5,389
도림주공2단지,39146,3995,4000,3981,4000,14,266
도림주공2단지,39149,3352,2216,3342,2216,10,185
도림주철관1공장,89307,383,704,382,704,1,36
도림주철관공업(주),42293,3875,1081,3861,1081,14,165
도림포도원,39150,341,3504,340,3504,1,128
도림포도원,39151,339,414,339,414,,25
도원고개(도원역),36001,4448,2898,4412,2898,36,244
도원고개(동구청방향),36170,27,39,27,39,,2
도원동행정복지센터,35180,2813,2768,2790,2768,23,186
도원동행정복지센터,36128,46,320,44,320,2,12
도원동행정복지센터(앞),35788,149,184,149,184,,11
도원동행정복지센터(앞),35798,259,100,259,100,,11
도원역(인천축구전용경기장),35176,8409,5160,8333,5160,76,452
도원역(인천축구전용경기장),37549,1409,3790,1398,3790,11,173
도장재마을,43167,19,2,18,2,1,0
도장재마을,43225,1,29,1,29,,1
도화1동행정복지센터,37340,11532,10069,11472,10069,60,720
도화IC,37356,24865,20149,24841,20149,24,1500
도화e편한세상604동,37578,520,80,520,80,,20
도화e편한세상아파트,37612,183,1624,183,1624,,60
도화e편한세상아파트,37613,4124,1783,4124,1783,,196
도화e편한세상아파트5단지,37624,3136,1354,3136,1354,,149
도화e편한세상아파트6단지,37626,2100,3934,2100,3934,,201
도화동신협(구박문여고),36003,10288,4381,10275,4381,13,488
도화동신협(구박문여고),37499,5222,7558,5210,7558,12,426
도화사거리.도화역,37390,776,709,776,709,,49
도화사거리.도화역,37392,309,1113,309,1113,,47
도화사거리·더샵인천스카이타워,37673,6641,3467,6638,3467,3,336
도화사거리·더샵인천스카이타워,37674,2199,6540,2189,6540,10,291
도화서희스타힐스,37625,1403,2538,1402,2538,1,131
도화역,37629,6247,6629,6247,6629,,429
도화초등학교.수봉도서관,37366,7418,6613,7397,6613,21,467
도화초등학교.수봉도서관,37367,12211,12275,12175,12275,36,816
독골사거리,42175,2975,1241,2973,1241,2,140
독배로317번길(삼거리),37634,7007,235,7007,235,,241
독장골,43351,3,28,3,28,,1
독장골,43846,11,1,8,1,3,0
독정역(서구동구예비군훈련장),42377,4415,3700,4406,3700,9,270
독정역(서구동구예비군훈련장),42378,9147,6853,9132,6853,15,533
독정이고개,37234,27960,20360,27828,20360,132,1610
독정이고개,37238,18824,25796,18725,25796,99,1487
돈대마을,43925,28,1,25,1,3,0
돈대마을,43926,1,37,1,37,,1
돈대모루,43422,3,14,3,14,,0
돈대모루,43447,11,7,10,7,1,0
돌고래펜션,44127,1,,1,,,0
돌고래펜션,44168,1,,1,,,0
돌머루(대산종점),43707,87,37,84,37,3,4
돌산밑,35320,218,22,216,22,2,8
돌산밑,35396,24,204,24,204,,7
돌성,43364,40,246,39,246,1,9
돌성,43587,264,52,258,52,6,10
돌팍재삼거리,35273,566,735,566,735,,43
돌팍재삼거리,35277,811,576,808,576,3,46
돌팍재한뿌리,35304,202,275,202,275,,15
돌팍재한뿌리,35315,148,282,148,282,,14
동강리,35245,65,53,65,53,,3
동강리,35246,42,85,41,85,1,4
동강리,35317,18,70,18,70,,2
동강리,35393,107,29,106,29,1,4
동검도삼거리,43223,,18,,18,,0
동검도삼거리,43642,56,1,52,1,4,1
동검리마을회관입구,90069,,14,,14,,0
동검리마을회관입구,90070,4,,4,,,0
동검리입구,43856,,27,,27,,0
동검리입구,43877,33,8,33,8,,1
동검리종점,43889,39,16,37,16,2,1
동검상회,43226,5,,5,,,0
동검상회,43519,,1,,1,,0
동광리어,41083,1205,399,1205,399,,53
동광리어,41084,612,2185,612,2185,,93
동광제일교회,40411,401,484,401,484,,29
동교동삼거리,22012,6370,74,6370,74,,214
동교동삼거리,23033,163,4306,163,4306,,148
동구선거관리위원회,36110,3228,9296,3198,9296,30,417
동구청,36011,634,616,634,616,,41
동구청소년수련관.달동네박물관,36026,16015,13797,15906,13797,109,993
동국제강,36068,1927,3554,1921,3554,6,182
동국제강,36074,358,213,341,213,17,19
동국제강후문,36069,131,714,131,714,,28
동국제강후문,36070,1000,136,998,136,2,37
동남스포피아,38226,10160,7048,10113,7048,47,573
동남스포피아,38227,10260,9099,10193,9099,67,645
동남아파트,38267,931,5819,931,5819,,225
동남아파트,38268,2437,967,2437,967,,113
동남아파트,70039,560,587,555,587,5,38
동남아파트(무지개아파트),38337,1479,4359,1045,4359,434,194
동녘개,90147,,14,,14,,0
동녘개,90148,22,13,22,13,,1
동녘마을입구,39660,27,753,27,753,,26
동들머리,43705,12,7,12,7,,0
동들머리,43885,20,43,20,43,,2
동막교회,43499,8,61,8,61,,2
동막교회,43514,54,5,54,5,,1
동막역(1번출구),38039,36801,52907,36755,52907,46,2990
동막역(3번출구),38433,50363,28433,50312,28433,51,2626
동막역(4번출구),38338,9864,996,9864,996,,362
동막초등학교,38054,1035,3890,1035,3890,,164
동막해변,43408,58,90,57,90,1,4
동막해변,43511,139,64,137,64,2,6
동문아파트,42436,13439,13964,13418,13964,21,913
동방중학교,92038,335,490,335,490,,27
동방초등학교,92037,45,173,45,173,,7
동보2차아파트,41053,29,611,27,611,2,21
동보2차아파트,41059,850,84,839,84,11,31
동보노빌리티,35488,3397,2940,3393,2940,4,211
동보노빌리티,35489,3358,2686,3358,2686,,201
동보아파트,39125,2717,5325,2717,5325,,268
동보아파트,39126,5491,1767,5491,1767,,241
동보아파트,41056,3852,495,3852,495,,144
동보아파트,41063,819,3472,819,3472,,143
동보아파트,41136,368,1030,367,1030,1,46
동보아파트,41143,12721,16871,12688,16871,33,986
동보아파트,70040,369,603,352,603,17,32
동보아파트후문,41129,1203,313,1194,313,9,50
동부아파트,36051,4948,966,4892,966,56,197
동부아파트,36052,1333,2494,1306,2494,27,127
동부아파트,37192,565,461,563,461,2,34
동산고,36018,12518,3707,12497,3707,21,540
동산고등학교,36021,5419,11845,5403,11845,16,575
동산교회,36010,1966,2781,1962,2781,4,158
동산교회,36012,2914,3785,2908,3785,6,223
동산교회,90303,3,2,3,2,,0
동산리마을회관,90302,16,5,16,5,,0
동산리입구,90291,2,4,2,4,,0
동산중고등학교(인천재능대정문),36029,8724,1186,8722,1186,2,330
동산휴먼시아2단지,36022,2663,484,2661,484,2,104
동산휴먼시아2단지,36023,987,4214,987,4214,,173
동서식품,40623,2868,2863,2861,2863,7,191
동서식품,40624,2273,3793,2270,3793,3,202
동성.길훈아파트,42495,3261,5336,3255,5336,6,286
동성아파트,42496,4488,2237,4486,2237,2,224
동수교회,40184,172,1140,153,1140,19,43
동수역,40108,3125,5538,3121,5538,4,288
동수역,40110,7184,5980,7154,5980,30,438
동수역,40124,1881,11978,1867,11978,14,461
동수치안센터,40188,8441,8805,8412,8805,29,574
동수치안센터,40189,11004,11783,10986,11783,18,759
동아.팬더아파트,39233,6790,9938,6749,9938,41,557
동아.팬더아파트,39236,10349,5790,10290,5790,59,537
동아2단지정문,40324,1416,473,1385,473,31,62
동아금호아파트,38344,5106,11373,5099,11373,7,549
동아금호아파트,38347,7142,2677,7111,2677,31,327
동아아파트,37248,899,1169,897,1169,2,68
동아아파트,41070,2983,801,2945,801,38,126
동아아파트,41072,780,2303,767,2303,13,102
동아아파트,41403,2303,4424,2300,4424,3,224
동아아파트,42404,3057,3800,3057,3800,,228
동아아파트,42406,5322,2772,5322,2772,,269
동아아파트후문,40257,2479,2583,2461,2583,18,168
동아아파트후문,40258,2648,1738,2635,1738,13,146
